Wire length data points,,Min Fitness ,Ave Fitness,Max Fitness
118.2298099,,,,
139.9495709,,,,
117.0854886,,,,
125.6740852,,,,
127.7858378,,,,
71.58644369,,,,
158.0628779,,,,
142.8165175,,,,
108.0679623,,,,
98.27406781,,,,
140.4279077,,,,
95.1633519,,,,
174.2078483,,,,
107.8730096,,,,
123.0223113,,,,
134.5371884,,,,
142.81174,,,,
114.9476601,,,,
146.4557996,,,,
136.8407416,,,,
91.74747351,,,,
125.3368673,,,,
134.8433175,,,,
106.6534068,,,,
142.5364765,,,,
128.7931757,,,,
131.9506933,,,,
132.9265114,,,,
162.645209,,,,
111.3440778,,,,
120.0461482,,,,
144.4324094,,,,
158.6903453,,,,
118.4838798,,,,
133.2359068,,,,
107.2938379,,,,
120.9646552,,,,
141.0570215,,,,
144.4382715,,,,
139.8737687,,,,
125.8919227,,,,
113.5915293,,,,
187.1986943,,,,
161.3157616,,,,
135.8018949,,,,
89.76886316,,,,
130.804137,,,,
131.470037,,,,
130.7452194,,,,
127.7135613,,,,
99.04350469,,,,
138.4285366,,,,
149.9410928,,,,
134.0376992,,,,
117.5970919,,,,
112.5748235,,,,
144.7768345,,,,
110.1369711,,,,
129.1704247,,,,
120.3237375,,,,
119.9368426,,,,
122.2873997,,,,
113.1856095,,,,
132.5330907,,,,
134.94663,,,,
101.7344642,,,,
138.8409871,,,,
128.3571713,,,,
139.6340447,,,,
161.0800025,,,,
118.0492889,,,,
96.62066248,,,,
133.0169641,,,,
142.2074137,,,,
142.776377,,,,
115.2672723,,,,
143.1891588,,,,
138.756675,,,,
113.3170129,,,,
118.2326772,,,,
141.9115967,,,,
131.0582852,,,,
148.3299458,,,,
147.5351235,,,,
123.5232495,,,,
141.67096,,,,
117.7381407,,,,
142.487379,,,,
130.6977388,,,,
105.9954891,,,,
129.0066464,,,,
153.8209887,,,,
176.2051657,,,,
122.9508194,,,,
162.9415748,,,,
111.0194871,,,,
135.0284662,,,,
155.890426,,,,
113.8943608,,,,
99.05419172,,,,
124.9583854,,,,
152.6487821,,,,
94.36315944,,,,
136.049686,,,,
165.9656397,,,,
99.64183522,,,,
158.4841469,,,,
143.648441,,,,
134.9491203,,,,
133.2061299,,,,
155.361689,,,,
109.9575702,,,,
147.1202717,,,,
119.9668814,,,,
135.5906825,,,,
83.94624173,,,,
183.0131924,,,,
125.9405477,,,,
110.0154192,,,,
105.3267825,,,,
102.3151553,,,,
122.1786307,,,,
128.0118375,,,,
119.8178329,,,,
96.86146014,,,,
150.7334024,,,,
99.16725613,,,,
113.1007673,,,,
111.6063165,,,,
162.9342571,,,,
140.5585292,,,,
125.1104251,,,,
126.7479815,,,,
155.1918902,,,,
101.4211222,,,,
97.12940341,,,,
120.632683,,,,
128.5770734,,,,
140.3744957,,,,
121.2855569,,,,
166.4293442,,,,
128.2157166,,,,
116.7749945,,,,
129.9127358,,,,
107.2245866,,,,
113.8719719,,,,
76.00930043,,,,
85.74691525,,,,
155.4906053,,,,
110.8872402,,,,
114.6650972,,,,
139.8912222,,,,
171.7576733,,,,
108.5534303,,,,
116.1712936,,,,
92.00089722,,,,
125.100118,,,,
128.6554893,,,,
124.1821432,,,,
126.899085,,,,
84.21882005,,,,
101.4445948,,,,
116.7936373,,,,
133.9075823,,,,
128.6439457,,,,
161.3756974,,,,
131.5549077,,,,
118.0949942,,,,
143.4707422,,,,
152.4509797,,,,
101.516853,,,,
115.2705909,,,,
138.7119409,,,,
90.78427914,,,,
112.3122016,,,,
142.654435,,,,
110.5066079,,,,
125.6595607,,,,
97.55334071,,,,
115.2607207,,,,
181.5637088,,,,
108.9993568,,,,
100.8103485,,,,
177.7502172,,,,
129.1737435,,,,
125.6427594,,,,
151.247596,,,,
84.60157471,,,,
168.5573218,,,,
146.7039281,,,,
169.3409344,,,,
111.4633147,,,,
130.533918,,,,
149.2521686,,,,
131.2175074,,,,
74.18524212,,,,
102.7771328,,,,
151.3155641,,,,
122.6735938,,,,
140.7458244,,,,
108.2251796,,,,
114.1050588,,,,
153.1070876,,,,
118.8331276,,,,
143.0459089,,,,
137.036908,,,,
148.4308572,,,,
130.2857832,,,,
125.1744705,,,,
130.1865018,,,,
153.3414808,,,,
150.4858397,,,,
161.8669426,,,,
109.42869,,,,
95.51162558,,,,
134.5644376,,,,
119.3626664,,,,
98.44940647,,,,
140.5857018,,,,
135.6710695,,,,
111.1732011,,,,
125.2083033,,,,
131.5700082,,,,
123.0594219,,,,
89.25530479,,,,
91.06727473,,,,
147.5006676,,,,
152.0493864,,,,
142.8354424,,,,
97.95649224,,,,
109.6314868,,,,
119.9247789,,,,
131.5940358,,,,
97.64836457,,,,
124.6121149,,,,
95.41494318,,,,
156.5409981,,,,
150.4253558,,,,
120.4152858,,,,
89.06616039,,,,
128.9606158,,,,
126.4549947,,,,
143.3397756,,,,
127.53526,,,,
129.5347798,,,,
103.1976852,,,,
79.93815762,,,,
90.88161614,,,,
126.0021302,,,,
122.5750712,,,,
118.411889,,,,
104.5756916,,,,
98.36079903,,,,
93.42951028,,,,
111.1838404,,,,
102.6741395,,,,
127.4049035,,,,
126.5713328,,,,
122.4447871,,,,
128.1748268,,,,
140.4577327,,,,
99.27240286,,,,
110.5151436,,,,
126.6954022,,,,
117.6335849,,,,
135.102836,,,,
123.0821716,,,,
114.9947639,,,,
89.37724625,,,,
127.9482215,,,,
140.1997119,,,,
100.0833434,,,,
115.8537544,,,,
129.368911,,,,
100.5867159,,,,
116.6771083,,,,
122.7195855,,,,
102.891922,,,,
136.289148,,,,
112.1851535,,,,
119.002659,,,,
134.5666799,,,,
106.3298754,,,,
101.8916474,,,,
106.6829426,,,,
125.9321724,,,,
138.2945235,,,,
94.5300187,,,,
157.2199879,,,,
135.9103648,,,,
123.1750848,,,,
155.4770054,,,,
116.3995089,,,,
127.4713205,,,,
91.09187919,,,,
101.6762841,,,,
156.4261783,,,,
115.9047904,,,,
132.4590377,,,,
112.5892411,,,,
125.2367941,,,,
120.5793208,,,,
165.2297575,,,,
115.9101197,,,,
141.8016418,,,,
120.4096867,,,,
109.4641145,,,,
117.7300455,,,,
123.6911624,,,,
116.7946892,,,,
122.5401454,,,,
91.61182427,,,,
123.7087307,,,,
152.6014737,,,,
128.5358089,,,,
97.12690823,,,,
138.434998,,,,
100.0539775,,,,
114.0308418,,,,
108.5506652,,,,
117.0608299,,,,
96.41883411,,,,
151.8652528,,,,
134.5924034,,,,
126.7883571,,,,
116.4689144,,,,
105.5930941,,,,
124.2593371,,,,
128.6829477,,,,
129.367129,,,,
126.8421317,,,,
172.4508766,,,,
93.10104857,,,,
109.5147834,,,,
127.7713861,,,,
110.3943346,,,,
160.728538,,,,
141.8111401,,,,
134.5211728,,,,
96.84747492,,,,
124.8880273,,,,
110.6101801,,,,
85.10350912,,,,
133.6109572,,,,
152.7030186,,,,
127.8367092,,,,
101.5807877,,,,
110.0266343,,,,
115.2215723,,,,
105.3558001,,,,
129.0496284,,,,
125.525738,,,,
90.06476212,,,,
123.6934091,,,,
101.9890759,,,,
115.8323872,,,,
108.5945696,,,,
124.4824219,,,,
129.0057619,,,,
125.8454164,,,,
77.06388073,,,,
118.0088711,,,,
150.8637509,,,,
114.9849163,,,,
100.4937568,,,,
162.7498328,,,,
105.8176496,,,,
104.9460503,,,,
84.49374655,,,,
140.7949055,,,,
119.7031651,,,,
95.20274132,,,,
116.0875164,,,,
99.61642337,,,,
115.5091638,,,,
127.8429441,,,,
141.3792396,,,,
105.5502474,,,,
163.0529353,,,,
136.6455653,,,,
172.291135,,,,
132.872202,,,,
131.2348104,,,,
129.8926783,,,,
148.7250758,,,,
156.3544049,,,,
159.1238403,,,,
126.2035013,,,,
165.2117837,,,,
180.9380403,,,,
120.2082287,,,,
117.4104918,,,,
105.3115473,,,,
120.1843032,,,,
111.1697141,,,,
117.3770562,,,,
114.811044,,,,
124.9049145,,,,
132.2222486,,,,
146.2125544,,,,
97.02740586,,,,
104.5679325,,,,
96.5363921,,,,
147.6259278,,,,
109.8825261,,,,
91.44491807,,,,
150.1975628,,,,
157.2128411,,,,
124.4142082,,,,
152.809936,,,,
116.4618046,,,,
96.57184983,,,,
138.7467883,,,,
155.9920234,,,,
114.8897912,,,,
110.5144825,,,,
114.0485564,,,,
136.3688459,,,,
147.7896,,,,
94.70026227,,,,
110.6029324,,,,
116.4371459,,,,
85.40010282,,,,
104.4781881,,,,
136.6537852,,,,
121.5985606,,,,
131.0276031,,,,
154.5108921,,,,
74.14339915,,,,
173.7993432,,,,
137.556283,,,,
100.6391552,,,,
123.9550911,,,,
138.5849238,,,,
119.3989786,,,,
116.3232414,,,,
113.7412715,,,,
106.0956374,,,,
133.0986528,,,,
109.6269661,,,,
141.8725945,,,,
86.19564123,,,,
141.2662936,,,,
128.8277922,,,,
141.2879818,,,,
124.4265362,,,,
118.6787933,,,,
129.2272391,,,,
152.7949459,,,,
132.8545734,,,,
86.01862957,,,,
129.5530758,,,,
122.7996271,,,,
123.1408987,,,,
128.1030268,,,,
99.36612545,,,,
131.1216603,,,,
136.320714,,,,
135.5726338,,,,
107.3702513,,,,
131.5195783,,,,
122.1160171,,,,
92.73099893,,,,
107.3120984,,,,
141.1538043,,,,
113.2575499,,,,
132.0607512,,,,
99.57231487,,,,
141.032007,,,,
129.3335254,,,,
120.4925827,,,,
110.4272542,,,,
103.4270973,,,,
111.5239642,,,,
126.9868915,,,,
132.0737697,,,,
126.3969322,,,,
122.6585447,,,,
159.1551903,,,,
91.60659052,,,,
100.2689854,,,,
82.74692638,,,,
136.4086232,,,,
153.3496806,,,,
112.8277097,,,,
144.5116794,,,,
92.86918707,,,,
119.7960895,,,,
134.094896,,,,
114.707551,,,,
108.0460488,,,,
107.0804105,,,,
114.9270961,,,,
76.59825938,,,,
120.7143967,,,,
158.5444548,,,,
93.40333647,,,,
135.483072,,,,
135.7142782,,,,
175.3451505,,,,
115.6956789,,,,
118.7941581,,,,
123.0804678,,,,
109.3201689,,,,
97.0840787,,,,
124.0156676,,,,
84.50855986,,,,
106.6869583,,,,
111.6145823,,,,
118.0149231,,,,
96.36882897,,,,
90.52024861,,,,
96.15552067,,,,
122.8103494,,,,
129.7500565,,,,
115.0755881,,,,
118.6399066,,,,
111.6784131,,,,
122.0380178,,,,
141.2654464,,,,
85.35890766,,,,
101.3260912,,,,
109.4490294,,,,
99.84571184,,,,
111.9601634,,,,
196.4492543,,,,
119.5580138,,,,
121.5759157,,,,
104.5643014,,,,
134.7802777,,,,
155.3641702,,,,
119.0193262,,,,
103.4121337,,,,
160.7765958,,,,
115.3502179,,,,
70.95411259,,,,
103.5026866,,,,
101.4694758,,,,
110.3785374,,,,
154.1326667,,,,
130.5750375,,,,
103.2674771,,,,
126.8626475,,,,
122.5353035,,,,
102.9049233,,,,
111.7162511,,,,
115.3565964,,,,
109.5056604,,,,
130.1971748,,,,
119.9578535,,,,
138.3497739,,,,
133.4020844,,,,
149.0654126,,,,
94.2135444,,,,
150.4641305,,,,
132.5632736,,,,
129.8769301,,,,
135.6816436,,,,
125.9719907,,,,
86.84695627,,,,
115.3310661,,,,
129.2681361,,,,
97.02274544,,,,
115.976664,,,,
111.3791797,,,,
88.65005201,,,,
143.8476509,,,,
151.1122886,,,,
158.4955621,,,,
173.6467639,,,,
115.9595818,,,,
109.4104528,,,,
146.9304658,,,,
130.8946797,,,,
